clip_id,class,x,y,w,h,query
e000097,motorcyclist,347,321,58,172,Người mặc áo đen đội nón hồng chạy xe tay ga màu hồng đi thẳng ra xa.
e000069,motorcyclist,405,264,64,256,Người mặc áo đen đội nón bảo hiểm trắng chạy xe điện màu trắng đi từ xa về gần camera chở 1 người
e000114,motorcyclist,424,372,103,338,Người mặc áo xám đội nón đỏ chạy xe số màu đỏ đi thẳng lại gần camera.
e000085,motorcyclist,198,269,58,209,Người mặc áo trắng đội nón bảo hiểm xám chạy xe tay ga màu đen đi từ xa về gần camera chở 1 người
e000011,motorcyclist,382,394,152,250,Người mặc áo đen đội nón đen chạy xe đạp màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000071,truck,376,282,676,372,Xe tải đầu màu đỏ thùng xe màu đỏ trắng Đi thẳng ra xa camera rồi rẽ phải.
e000003,truck,306,306,798,520,Xe tải đầu màu xanh thùng kín Đi thẳng ra xa camera rồi rẽ phải.
19_video2_norm_e001,truck,333,262,674,365,xe tải đầu màu trắng thùng kín đi thẳng ra xa camera rồi rẽ phải.
e000005,truck,196,90,1108,802,Xe tải đầu màu đen thùng xe phủ bạt đen Đi thẳng ra xa camera rồi rẽ phải.
e000043,truck,6,113,268,249,Xe tải đầu màu trắng thùng xe màu vàng đi thẳng ra xa.
e000129,motorcyclist,371,381,93,244,Người mặc áo xanh lá đội nón xanh dương chạy xe số màu đen đi thẳng rẽ phải camera.
e000115,motorcyclist,444,386,84,333,Người mặc áo đen đội nón trắng chạy xe tay ga màu đỏ đi thẳng lại gần camera.
e000001,truck,942,132,182,142,Xe tải đầu màu xanh dương thùng xe phủ bạt đen đi thẳng ra xa camera qua ngã tư.
e000039,motorcyclist,336,336,66,316,Người mặc áo trắng đội nón đen chạy xe số màu đỏ đi thẳng về hướng camera.
19_video11_norm_e005,motorcyclist,621,484,237,304,Người mặc áo trắng đội nón bảo hiểm đen chạy xe số màu đen Đi thẳng ra xa camera rồi rẽ phải.
e000008,motorcyclist,364,500,200,340,Người mặc áo trắng đội nón đen chạy xe đạp màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000150,motorcyclist,650,220,118,120,Người mặc áo trắng đội nón đen chạy xe tay ga màu đen đi thẳng ra xa camera qua ngã tư.
e000048,motorcyclist,265,217,42,185,Người mặc áo đen đội nón bảo hiểm đỏ chạy xe tay ga màu đỏ đi từ xa về gần camera chở 1 người
e000014,motorcyclist,283,392,76,326,Người mặc áo xanh đội nón đỏ chạy xe số màu đỏ đi thẳng lại gần camera.
19_video2_norm_e011,motorcyclist,868,406,146,249,Người mặc áo xám đội nón bảo hiểm đen chạy xe số màu đen Đi thẳng ra xa camera rồi rẽ phải.
e000047,truck,3,4,355,470,Container đầu màu trắng thùng kín đi thẳng ra xa.
e000040,motorcyclist,89,464,84,248,Người mặc áo xanh đội nón đen chạy xe điện màu đỏ vỉa hè lại gần camera.
e000098,motorcyclist,730,552,210,288,Người mặc áo kẻ ca rô đội nón đỏ chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
video12_e000061,motorcyclist,693,148,44,88,Người mặc áo trắng đội nón đen chạy xe máy màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000020,car,266,21,342,478,Xe khách màu xanh đi thẳng lại gần camera.
e000011,car,36,214,176,189,Xe con màu đen đi thẳng ra xa camera.
e000201,motorcyclist,379,294,88,294,Người mặc áo đen đội nón đen chạy xe số màu đen chở hàng đi thẳng lại gần camera.
e000028,car,112,188,158,168,Xe con màu đỏ đi thẳng ra xa.
e000017,motorcyclist,190,429,100,285,Người mặc áo xám đội nón đen chạy xe đạp màu bạc đi thẳng ra xa camera.
e000158,car,392,181,148,190,Xe con màu bạc đi thẳng lại gần camera.
e000045,motorcyclist,179,313,86,213,Người mặc áo xanh da trời đội nón xanh da trời chạy xe tay ga màu xanh da trời đi thẳng ra xa.
e000153,motorcyclist,206,262,70,254,Người mặc áo đen đội nón bảo hiểm đen chạy xe tay ga màu đen đi từ xa về gần camera
19_video7_norm_e007,motorcyclist,590,377,141,228,Người mặc áo xanh lá đội nón bảo hiểm xanh chạy tay ga màu đen Đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000006,car,848,150,172,90,Xe con màu đỏ đi từ phải sang trái qua ngã tư.
e000055,motorcyclist,294,201,43,178,Người mặc áo trắng đội nón bảo hiểm vàng chạy xe số màu đen đi từ xa về gần camera
e000017,truck,361,41,257,340,Xe tải đầu màu trắng thùng xe màu bạc đi thẳng lại gần camera.
e000128,motorcyclist,666,518,380,368,Người mặc áo trắng đội nón đen chạy xe tay ga màu trắng đi thẳng ra xa camera rồi rẽ phải.
e000123,car,147,196,166,185,Xe con màu xanh đen đi thẳng ra xa.
e000082,motorcyclist,443,374,94,344,Người mặc áo xanh đội nón xanh chạy xe tay ga màu đen chở 1 người đi thẳng lại gần camera.
e000092,motorcyclist,82,353,101,188,Người mặc áo đen đội nón hồng chạy xe đạp màu đen chở theo 1 người đi thẳng ra xa camera.
e000168,motorcyclist,358,242,55,182,Người mặc áo xám không đội nón chạy xe đạp màu đỏ đi thẳng ra xa.
e000062,motorcyclist,84,385,114,246,Người mặc áo trắng đội nón đen chạy xe tay ga màu trắng đi thẳng ra xa camera.
e000092,motorcyclist,347,288,49,165,Người mặc áo trắng đội nón trắng chạy xe đạp màu đen đeo balo đi thẳng ra xa camera.
e000171,motorcyclist,313,297,58,216,Người mặc áo trắng đội nón trắng chạy xe số màu đen đi thẳng ra xa.
e000066,motorcyclist,418,362,107,346,Người mặc áo xám đội nón trắng chạy xe tay ga màu vàng đi thẳng lại gần camera.
e000002,motorcyclist,434,262,96,124,Người mặc áo vàng đội nón trắng chạy xe số màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000183,car,147,234,209,194,Xe con màu trắng đi thẳng ra xa.
e000001,truck,778,106,186,92,Xe tải đầu màu trắng thùng kín đi từ phải sang trái qua ngã tư.
e000020,car,192,176,107,154,Xe con màu trắng đi thẳng về hướng camera.
e000007,motorcyclist,196,177,62,161,Người mặc áo cam đội nón trắng chạy xe số màu đỏ đen chở hàng đi thẳng về hướng camera.
e000191,motorcyclist,265,329,82,286,Người mặc áo xanh dương đội nón đen chạy xe số màu đỏ đen chở hàng đi thẳng lại gần camera.
video7_e000159,motorcyclist,497,248,92,149,Người mặc áo trắng đội nón trắng chạy xe máy màu đen đi thẳng ra xa camera qua ngã tư.
e000020,motorcyclist,298,366,70,332,Người mặc áo sọc đen đội nón đen chạy xe tay ga màu trắng đi thẳng về hướng camera.
e000001,truck,962,120,140,140,Xe tải đầu màu trắng thùng xe màu bạc đi thẳng ra xa camera qua ngã tư.
e000061,motorcyclist,215,374,106,242,Người mặc áo xanh chuối đội nón trắng chạy xe số màu đen rẽ phải ra xa camera.
e000006,car,1508,222,150,114,Xe bán tải màu đen đi thẳng ra xa camera rồi rẽ phải.
19_video11_norm_e005,car,280,284,270,121,xe con màu trắng đi thẳng ra xa camera rồi rẽ trái.
e000005,motorcyclist,1030,164,90,94,Người mặc áo đen đội nón xanh chạy xe tay ga màu đỏ đi từ trái sang phải qua ngã tư.
e000128,motorcyclist,283,361,64,289,Người mặc áo trắng đội nón bảo hiểm đen chạy xe số màu trắng đi từ xa về gần camera
e000164,motorcyclist,266,317,60,264,Người mặc áo xám đội nón đỏ chạy xe tay ga màu đỏ đi thẳng lại gần camera.
e000001,motorcyclist,84,540,172,270,Người mặc áo tím đội nón đỏ chạy xe đạp màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000216,car,410,162,186,256,Xe con màu xám đi thẳng lại gần camera.
video4_e000096,motorcyclist,365,228,93,122,Người mặc áo xanh dương đội nón đen chạy xe máy màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
video4_e000094,car,810,88,80,46,Xe màu đen đi từ phải sang trái qua ngã tư.
video11_e000044,car,249,158,198,120,Xe con màu cam đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000084,car,144,194,127,120,Xe con màu xám đi thẳng ra xa camera.
e000003,truck,964,88,264,124,Xe tải đầu màu xanh thùng xe phủ bạt đen Đi từ phải sang trái qua ngã tư.
e000006,motorcyclist,401,317,94,325,Người mặc áo vàng đội nón đỏ chạy xe tay ga màu đỏ đi thẳng lại gần camera.
e000032,car,122,173,151,145,Xe con màu trắng đi thẳng ra xa.
e000063,motorcyclist,734,282,142,200,Người mặc áo xanh đội nón đen chạy xe số màu đen đi thẳng ra xa camera qua ngã tư.
e000015,car,626,166,190,66,Xe con màu đen đi từ trái sang phải qua ngã tư.
e000018,car,247,182,136,184,Xe con màu vàng đi từ xa về gần camera
video12_e000062,motorcyclist,505,352,164,205,Người mặc áo xanh lá đội nón đỏ chạy xe máy màu đen đi thẳng ra xa camera rồi rẽ phải.
19_video10_norm_e006,truck,0,45,1110,772,xe tải đầu màu xám thùng khung đi thẳng ra xa camera rồi rẽ phải.
e000115,motorcyclist,170,236,52,226,Người mặc áo đỏ đô đội nón trắng chạy xe đạp màu đen đi thẳng về hướng camera.
e000060,motorcyclist,214,314,85,257,Người mặc áo caro kẻ ca rô đội nón bảo hiểm đỏ chạy xe số màu đen đi từ xa về gần camera chở hàng
e000083,motorcyclist,215,340,77,196,Người mặc áo hồng đội nón xanh nước biển chạy xe số màu đỏ đi thẳng ra xa camera.
e000008,motorcyclist,642,612,246,338,Người mặc áo kẻ ca rô đội nón đỏ chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000114,truck,162,69,176,241,Xe tải đầu màu trắng thùng kín đi thẳng ra xa.
e000154,truck,928,236,300,280,Xe tải đầu màu trắng thùng xe màu bạc Đi thẳng ra xa camera rồi rẽ phải.
e000101,motorcyclist,880,460,290,368,Người mặc áo đen đội nón đen chạy xe số màu đen đi thẳng ra xa camera rồi rẽ phải.
e000016,motorcyclist,1060,208,122,146,Người mặc áo đen đội nón trắng chạy xe số màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000024,motorcyclist,245,356,83,232,Người mặc áo trắng đội nón xanh lá chạy xe tay ga màu đỏ đi thẳng ra xa camera.
e000012,motorcyclist,281,361,85,221,Người mặc áo lông chuột đội nón hồng chạy xe tay ga màu đỏ đi thẳng ra xa camera.
19_video4_norm_e012,car,342,444,612,264,taxi màu đen đi thẳng ra xa camera rồi rẽ phải.
e000100,motorcyclist,168,342,85,173,Người mặc áo cam đội nón đỏ chạy xe số màu đen chở theo 1 người đi thẳng ra xa camera.
e000053,motorcyclist,327,296,62,277,Người mặc áo đen đội nón bảo hiểm đỏ chạy xe tay ga màu đỏ đi từ xa về gần camera
video1_e000007,car,116,288,428,281,Xe ô tô màu xám đi thẳng ra xa camera rồi rẽ phải.
e000010,truck,606,96,328,148,Xe tải đầu màu trắng thùng xe phủ bạt đen Đi từ trái sang phải qua ngã tư.
e000113,car,257,124,105,109,Xe bán tải màu xám đi thẳng ra xa.
e000166,truck,808,72,470,122,Container đầu màu trắng thùng xe màu vàng Đi từ phải sang trái qua ngã tư.
e000013,car,457,209,170,193,Xe con màu xám đi thẳng lại gần camera.
e000165,motorcyclist,322,304,84,293,Người mặc áo đen đội nón trắng chạy xe số màu đen chở 1 người đi thẳng lại gần camera.
e000007,truck,104,0,1172,978,Container đầu màu trắng thùng kín Đi thẳng ra xa camera rồi rẽ phải.
e000048,motorcyclist,145,212,37,161,Người mặc áo trắng đội nón bảo hiểm đen chạy xe tay ga màu trắng đi từ xa về gần camera
e000070,motorcyclist,215,313,80,209,Người mặc áo kem đội nón đen chạy xe số màu đen đi thẳng ra xa camera.
e000197,car,403,178,170,193,Xe con màu đen đi thẳng lại gần camera.
e000018,motorcyclist,224,238,47,178,Người mặc áo xanh đội nón trắng chạy xe tay ga màu đen đi thẳng lại gần camera.
e000089,car,405,177,155,216,Xe con màu trắng đi thẳng lại gần camera.
e000005,car,1194,134,120,52,Xe con màu xám đi từ phải sang trái qua ngã tư.
video2_e000076,motorcyclist,381,298,132,192,Người mặc áo đen đội nón đen chạy xe máy màu đen đi thẳng ra xa camera rồi dừng chờ đèn đỏ.
e000012,truck,108,180,146,106,Xe tải đầu màu xanh thùng kín Đi từ phải sang trái qua ngã tư.
e000183,motorcyclist,263,350,92,329,Người mặc áo sọc đen trắng đội nón đen chạy xe số màu đỏ đen đi thẳng lại gần camera.
e000021,motorcyclist,343,328,72,298,Người mặc áo trắng đội nón trắng chạy xe tay ga màu đen đi thẳng lại gần camera.
e000187,motorcyclist,287,344,91,357,Người mặc áo xám đội nón xám chạy xe số màu xanh dương đi thẳng lại gần camera.
e000220,motorcyclist,294,269,64,272,Người mặc áo xanh dương đội nón đen chạy xe số màu xanh dương chở người đi thẳng lại gần camera.
e000182,motorcyclist,295,305,68,237,Người mặc áo đen đội nón đen chạy xe tay ga màu đen chở hàng đi thẳng ra xa.
19_video1_norm_e010,car,370,454,644,242,xe con màu đen đi thẳng ra xa camera rồi rẽ phải.
e000080,motorcyclist,212,344,88,201,Người mặc áo nâu đất đội nón xanh dương chạy xe tay ga màu đỏ chở theo 1 người đi thẳng ra xa camera.
e000106,motorcyclist,282,408,68,312,Người mặc áo đỏ đội nón xám chạy xe số màu đỏ đi thẳng lại gần camera.
